,cap_hit,player_name,team_name,year
0,"$5,325,000  ",Ryan Getzlaf,anaheim-ducks,2011
1,"$5,325,000  ",Corey Perry,anaheim-ducks,2011
2,"$5,100,000  ",Bobby Ryan,anaheim-ducks,2011
3,"$4,500,000  ",Jonas Hiller,anaheim-ducks,2011
4,"$4,000,000  ",Teemu Selanne,anaheim-ducks,2011
5,"$4,000,000  ",Jason Blake,anaheim-ducks,2011
6,"$3,800,000  ",Francois Beauchemin,anaheim-ducks,2011
7,"$3,000,000  ",Niklas Hagman,anaheim-ducks,2011
8,"$3,000,000  ",Toni Lydman,anaheim-ducks,2011
9,"$2,390,000  ",Andrew Cogliano,anaheim-ducks,2011
10,"$2,175,000  ",Luca Sbisa,anaheim-ducks,2011
11,"$1,400,000  ",Cam Fowler,anaheim-ducks,2011
12,"$1,325,000  ",Rich Peverley,anaheim-ducks,2011
13,"$1,025,000  ",Kyle Palmieri,anaheim-ducks,2011
14,"$900,000  ",Mat Clark,anaheim-ducks,2011
15,"$850,000  ",Marco Cousineau,anaheim-ducks,2011
16,"$750,000  ",Sheldon Brookbank,anaheim-ducks,2011
17,"$737,500  ",Matt Beleskey,anaheim-ducks,2011
18,"$728,918  ",Devante Smith-Pelly,anaheim-ducks,2011
19,"$693,000  ",Nick Bonino,anaheim-ducks,2011
20,"$612,500  ",Jeff Drouin-Deslauriers,anaheim-ducks,2011
21,"$600,000  ",Matt Smaby,anaheim-ducks,2011
22,"$575,000  ",Mark Bell,anaheim-ducks,2011
23,"$550,000  ",Troy Bodie,anaheim-ducks,2011
24,"$550,000  ",Patrick Maroon,anaheim-ducks,2011
25,"$550,000  ",Dan Sexton,anaheim-ducks,2011
26,"$525,000  ",Nate Guenin,anaheim-ducks,2011
27,"$5,325,000  ",Ryan Getzlaf,anaheim-ducks,2012
28,"$5,325,000  ",Corey Perry,anaheim-ducks,2012
29,"$5,100,000  ",Bobby Ryan,anaheim-ducks,2012
30,"$4,500,000  ",Jonas Hiller,anaheim-ducks,2012
31,"$4,500,000  ",Teemu Selanne,anaheim-ducks,2012
32,"$3,800,000  ",Saku Koivu,anaheim-ducks,2012
33,"$3,666,667  ",Sheldon Souray,anaheim-ducks,2012
34,"$3,500,000  ",Bryan Allen,anaheim-ducks,2012
35,"$3,500,000  ",Francois Beauchemin,anaheim-ducks,2012
36,"$3,000,000  ",Toni Lydman,anaheim-ducks,2012
37,"$2,390,000  ",Andrew Cogliano,anaheim-ducks,2012
38,"$2,175,000  ",Luca Sbisa,anaheim-ducks,2012
39,"$1,800,000  ",Daniel Winnik,anaheim-ducks,2012
40,"$1,775,000  ",Frederik Andersen,anaheim-ducks,2012
41,"$1,400,000  ",Cam Fowler,anaheim-ducks,2012
42,"$1,350,000  ",Antoine Laganiere,anaheim-ducks,2012
43,"$1,325,000  ",Sami Vatanen,anaheim-ducks,2012
44,"$1,100,000  ",David Steckel,anaheim-ducks,2012
