,cap_hit,Player,team_name,Season
0,5325000,Ryan Getzlaf,anaheim-ducks,2011-2012
1,5325000,Corey Perry,anaheim-ducks,2011-2012
2,5100000,Bobby Ryan,anaheim-ducks,2011-2012
3,4500000,Jonas Hiller,anaheim-ducks,2011-2012
4,4000000,Teemu Selanne,anaheim-ducks,2011-2012
5,4000000,Jason Blake,anaheim-ducks,2011-2012
6,3800000,Francois Beauchemin,anaheim-ducks,2011-2012
7,3000000,Niklas Hagman,anaheim-ducks,2011-2012
8,3000000,Toni Lydman,anaheim-ducks,2011-2012
9,2390000,Andrew Cogliano,anaheim-ducks,2011-2012
10,2175000,Luca Sbisa,anaheim-ducks,2011-2012
11,1400000,Cam Fowler,anaheim-ducks,2011-2012
12,1325000,Rich Peverley,anaheim-ducks,2011-2012
13,1025000,Kyle Palmieri,anaheim-ducks,2011-2012
14,900000,Mat Clark,anaheim-ducks,2011-2012
15,850000,Marco Cousineau,anaheim-ducks,2011-2012
16,750000,Sheldon Brookbank,anaheim-ducks,2011-2012
17,737500,Matt Beleskey,anaheim-ducks,2011-2012
18,728918,Devante Smith-Pelly,anaheim-ducks,2011-2012
19,693000,Nick Bonino,anaheim-ducks,2011-2012
20,612500,Jeff Drouin-Deslauriers,anaheim-ducks,2011-2012
21,600000,Matt Smaby,anaheim-ducks,2011-2012
22,575000,Mark Bell,anaheim-ducks,2011-2012
23,550000,Troy Bodie,anaheim-ducks,2011-2012
24,550000,Patrick Maroon,anaheim-ducks,2011-2012
25,550000,Dan Sexton,anaheim-ducks,2011-2012
26,525000,Nate Guenin,anaheim-ducks,2011-2012
27,5325000,Ryan Getzlaf,anaheim-ducks,2012-2013
28,5325000,Corey Perry,anaheim-ducks,2012-2013
29,5100000,Bobby Ryan,anaheim-ducks,2012-2013
30,4500000,Jonas Hiller,anaheim-ducks,2012-2013
31,4500000,Teemu Selanne,anaheim-ducks,2012-2013
32,3800000,Saku Koivu,anaheim-ducks,2012-2013
33,3666667,Sheldon Souray,anaheim-ducks,2012-2013
34,3500000,Bryan Allen,anaheim-ducks,2012-2013
35,3500000,Francois Beauchemin,anaheim-ducks,2012-2013
36,3000000,Toni Lydman,anaheim-ducks,2012-2013
37,2390000,Andrew Cogliano,anaheim-ducks,2012-2013
38,2175000,Luca Sbisa,anaheim-ducks,2012-2013
39,1800000,Dan Winnik,anaheim-ducks,2012-2013
40,1775000,Frederik Andersen,anaheim-ducks,2012-2013
41,1400000,Cam Fowler,anaheim-ducks,2012-2013
42,1350000,Antoine Laganiere,anaheim-ducks,2012-2013
43,1325000,Sami Vatanen,anaheim-ducks,2012-2013
44,1100000,David Steckel,anaheim-ducks,2012-2013
45,1025000,Kyle Palmieri,anaheim-ducks,2012-2013
46,1000000,Viktor Fasth,anaheim-ducks,2012-2013
47,900000,Mat Clark,anaheim-ducks,2012-2013
48,894166,Hampus Lindholm,anaheim-ducks,2012-2013
49,870000,Emerson Etem,anaheim-ducks,2012-2013
50,737500,Matt Beleskey,anaheim-ducks,2012-2013
51,700000,Nick Bonino,anaheim-ducks,2012-2013
52,675000,Radek Dvorak,anaheim-ducks,2012-2013
53,637500,Brad Staubitz,anaheim-ducks,2012-2013
54,600000,Jordan Hendry,anaheim-ducks,2012-2013
55,600000,Harry Zolnierczyk,anaheim-ducks,2012-2013
56,550000,Kyle Wilson,anaheim-ducks,2012-2013
57,550000,Pierre-Luc Letourneau-Leblond,anaheim-ducks,2012-2013
58,550000,Patrick Maroon,anaheim-ducks,2012-2013
59,525000,Nate Guenin,anaheim-ducks,2012-2013
60,525000,Ben Lovejoy,anaheim-ducks,2012-2013
61,193333,Devante Smith-Pelly,anaheim-ducks,2012-2013
62,8625000,Corey Perry,anaheim-ducks,2013-2014
63,8250000,Ryan Getzlaf,anaheim-ducks,2013-2014
64,4500000,Jonas Hiller,anaheim-ducks,2013-2014
65,4000000,Cam Fowler,anaheim-ducks,2013-2014
66,3666667,Sheldon Souray,anaheim-ducks,2013-2014
67,3500000,Bryan Allen,anaheim-ducks,2013-2014
68,3500000,Francois Beauchemin,anaheim-ducks,2013-2014
69,2500000,Saku Koivu,anaheim-ducks,2013-2014
70,2390000,Andrew Cogliano,anaheim-ducks,2013-2014
71,2175000,Luca Sbisa,anaheim-ducks,2013-2014
72,2000000,Teemu Selanne,anaheim-ducks,2013-2014
73,1800000,Dan Winnik,anaheim-ducks,2013-2014
74,1466667,Kyle Palmieri,anaheim-ducks,2013-2014
75,1350000,Matt Beleskey,anaheim-ducks,2013-2014
76,1100000,Ben Lovejoy,anaheim-ducks,2013-2014
77,1050000,Mathieu Perreault,anaheim-ducks,2013-2014
78,900000,Mark Fistric,anaheim-ducks,2013-2014
79,894166,Hampus Lindholm,anaheim-ducks,2013-2014
80,870000,Emerson Etem,anaheim-ducks,2013-2014
81,863333,Jakob Silfverberg,anaheim-ducks,2013-2014
82,777949,Frederik Andersen,anaheim-ducks,2013-2014
83,700000,Nick Bonino,anaheim-ducks,2013-2014
84,693846,Stephane Robidas,anaheim-ducks,2013-2014
85,587744,Sami Vatanen,anaheim-ducks,2013-2014
86,575000,Patrick Maroon,anaheim-ducks,2013-2014
87,449167,Tim Jackman,anaheim-ducks,2013-2014
88,209692,Devante Smith-Pelly,anaheim-ducks,2013-2014
89,66615,John Gibson,anaheim-ducks,2013-2014
90,2923,John Kurtz,anaheim-ducks,2013-2014
91,8625000,Corey Perry,anaheim-ducks,2014-2015
92,8250000,Ryan Getzlaf,anaheim-ducks,2014-2015
93,5000000,Ryan Kesler,anaheim-ducks,2014-2015
94,4000000,Cam Fowler,anaheim-ducks,2014-2015
95,3666667,Sheldon Souray,anaheim-ducks,2014-2015
96,3500000,Francois Beauchemin,anaheim-ducks,2014-2015
97,3250000,Clayton Stoner,anaheim-ducks,2014-2015
98,3000000,Andrew Cogliano,anaheim-ducks,2014-2015
99,1600000,Nate Thompson,anaheim-ducks,2014-2015
100,1531667,Hampus Lindholm,anaheim-ducks,2014-2015
101,1466667,Kyle Palmieri,anaheim-ducks,2014-2015
102,1350000,Matt Beleskey,anaheim-ducks,2014-2015
103,1262500,Sami Vatanen,anaheim-ducks,2014-2015
104,1212365,James Wisniewski,anaheim-ducks,2014-2015
105,1176774,Ilya Bryzgalov,anaheim-ducks,2014-2015
106,1150000,Frederik Andersen,anaheim-ducks,2014-2015
107,1040322,Tomas Fleischmann,anaheim-ducks,2014-2015
108,874937,Rickard Rakell,anaheim-ducks,2014-2015
109,863844,Mark Fistric,anaheim-ducks,2014-2015
110,850500,Jakob Silfverberg,anaheim-ducks,2014-2015
111,637500,Tim Jackman,anaheim-ducks,2014-2015
112,575000,Patrick Maroon,anaheim-ducks,2014-2015
113,556613,Emerson Etem,anaheim-ducks,2014-2015
114,492751,John Gibson,anaheim-ducks,2014-2015
115,473692,Jaycob Megna,anaheim-ducks,2014-2015
116,343145,Josh Manson,anaheim-ducks,2014-2015
117,261290,Chris Wagner,anaheim-ducks,2014-2015
118,233737,Jiri Sekac,anaheim-ducks,2014-2015
119,213709,Jason Labarbera,anaheim-ducks,2014-2015
120,198387,Simon Despres,anaheim-ducks,2014-2015
121,173589,Korbinian Holzer,anaheim-ducks,2014-2015
122,159140,Shea Theodore,anaheim-ducks,2014-2015
123,23208,Stefan Noesen,anaheim-ducks,2014-2015
124,15883,Michael Sgarbossa,anaheim-ducks,2014-2015
125,12527,Max Friberg,anaheim-ducks,2014-2015
126,8625000,Corey Perry,anaheim-ducks,2015-2016
127,8250000,Ryan Getzlaf,anaheim-ducks,2015-2016
128,5000000,Ryan Kesler,anaheim-ducks,2015-2016
129,4600000,Kevin Bieksa,anaheim-ducks,2015-2016
130,4000000,Cam Fowler,anaheim-ducks,2015-2016
131,3812500,David Perron,anaheim-ducks,2015-2016
132,3750000,Jakob Silfverberg,anaheim-ducks,2015-2016
133,3250000,Clayton Stoner,anaheim-ducks,2015-2016
134,3000000,Andrew Cogliano,anaheim-ducks,2015-2016
135,2950000,Jamie Mcginn,anaheim-ducks,2015-2016
136,2250000,Anton Khudobin,anaheim-ducks,2015-2016
137,1750000,Shawn Horcoff,anaheim-ducks,2015-2016
138,1700000,Chris Stewart,anaheim-ducks,2015-2016
139,1600000,Nate Thompson,anaheim-ducks,2015-2016
140,1262500,Sami Vatanen,anaheim-ducks,2015-2016
141,1150000,Frederik Andersen,anaheim-ducks,2015-2016
142,925000,Josh Manson,anaheim-ducks,2015-2016
143,925000,Brandon Pirri,anaheim-ducks,2015-2016
144,900000,Ryan Garbutt,anaheim-ducks,2015-2016
145,900000,Simon Despres,anaheim-ducks,2015-2016
146,894167,Hampus Lindholm,anaheim-ducks,2015-2016
147,894167,Rickard Rakell,anaheim-ducks,2015-2016
148,894166,Nicholas Ritchie,anaheim-ducks,2015-2016
149,875000,Mike Santorelli,anaheim-ducks,2015-2016
150,863333,Shea Theodore,anaheim-ducks,2015-2016
151,863333,Stefan Noesen,anaheim-ducks,2015-2016
152,786666,Jaycob Megna,anaheim-ducks,2015-2016
153,750000,Korbinian Holzer,anaheim-ducks,2015-2016
154,721666,John Gibson,anaheim-ducks,2015-2016
155,650000,Shane O'Brien,anaheim-ducks,2015-2016
156,625000,Corey Tropp,anaheim-ducks,2015-2016
157,605000,Michael Sgarbossa,anaheim-ducks,2015-2016
158,600000,Chris Mueller,anaheim-ducks,2015-2016
159,600000,Joe Piskula,anaheim-ducks,2015-2016
160,600000,Chris Wagner,anaheim-ducks,2015-2016
161,600000,Harry Zolnierczyk,anaheim-ducks,2015-2016
162,8625000,Corey Perry,anaheim-ducks,2016-2017
163,8250000,Ryan Getzlaf,anaheim-ducks,2016-2017
164,6875000,Ryan Kesler,anaheim-ducks,2016-2017
165,5250000,Hampus Lindholm,anaheim-ducks,2016-2017
166,4875000,Sami Vatanen,anaheim-ducks,2016-2017
167,4150000,Jonathan Bernier,anaheim-ducks,2016-2017
168,4000000,Kevin Bieksa,anaheim-ducks,2016-2017
169,4000000,Cam Fowler,anaheim-ducks,2016-2017
170,3853672,Rickard Rakell,anaheim-ducks,2016-2017
171,3750000,Jakob Silfverberg,anaheim-ducks,2016-2017
172,3700000,Simon Despres,anaheim-ducks,2016-2017
173,3250000,Clayton Stoner,anaheim-ducks,2016-2017
174,3000000,Andrew Cogliano,anaheim-ducks,2016-2017
175,2300000,John Gibson,anaheim-ducks,2016-2017
